WHO Region,Deaths / 100 Cases,Recovered / 100 Cases
Africa,2.3064583333333335,57.01479166666667
Americas,3.0525714285714285,62.29142857142857
Eastern Mediterranean,3.563181818181818,66.59318181818182
Europe,4.198392857142857,68.635
South-East Asia,1.2959999999999998,66.704
Western Pacific,1.29,76.80499999999999
